simulation,total_cost,build_cost,inservice_cost
316,4467092.9028066965,4307420.028749447,159672.87405724853
317,3953184.830380745,3819755.792055105,133429.03832564017
318,4491624.093196404,4329158.278911788,162465.81428461595
319,4245994.733222252,4082454.8240140188,163539.90920823265
320,4063195.286325904,3922570.676024791,140624.61030111343
321,4709334.769156524,4553226.799546773,156107.96960975183
322,3441516.6769368406,3300344.2002457995,141172.47669104097
323,5434487.889956469,5268951.409164951,165536.48079151753
324,3348628.8611710877,3215353.154677565,133275.70649352236
325,3122397.565662483,3005601.7206359245,116795.84502655831
326,4939086.6858401075,4776090.70416115,162995.98167895686
327,4602286.418589507,4438902.165709805,163384.2528797023
328,4413647.273507489,4257263.101917295,156384.17159019428
329,4448661.002312386,4298542.49414554,150118.50816684688
330,3694697.1550411033,3566499.068022332,128198.0870187714
331,3538353.786412889,3404339.1469958,134014.63941708824
332,4084863.571931006,3934757.2486475864,150106.323283419
333,3854690.455383391,3710419.285445736,144271.16993765574
334,4659263.366796134,4509809.662166993,149453.70462914073
335,4083572.609771088,3948450.6715238052,135121.93824728322
336,3222004.757488874,3098815.5178518943,123189.23963697917
337,4088390.337821004,3921872.6417918177,166517.69602918677
338,4375067.561504313,4226580.68474002,148486.87676429245
339,3751890.834516768,3626074.469054159,125816.36546260939
340,3277341.819433436,3157678.1937125716,119663.62572086466
341,3887738.502045837,3754741.9905988807,132996.5114469564
342,4199056.204111591,4059826.920537711,139229.2835738798
343,3611667.266789,3484397.5603402047,127269.70644879554
344,3794604.921756789,3652978.014781307,141626.90697548215
345,4066021.6738191936,3921004.522544727,145017.15127446604
346,3460725.1140194032,3325673.084074385,135052.0299450185
347,3641588.630556632,3508847.805858007,132740.82469862472
348,3628581.9478523373,3491890.674981601,136691.27287073672
349,3911945.194959119,3775652.295964197,136292.89899492194
350,4230792.579610517,4083857.483342589,146935.09626792936
351,5087704.197075901,4931781.265837834,155922.93123806737
352,4721730.293579814,4566826.79686661,154903.4967132048
353,3695490.4999089846,3570485.7580340104,125004.74187497476
354,3999647.436726748,3846744.5992168407,152902.83750990717
355,3460075.541791401,3316398.2879789644,143677.25381243665
356,4363255.548161883,4218595.201705151,144660.34645673004
