simulation,phase1_end,phase2_end,phase3_end,phase4_end,project_end
146,5.950704592410105,14.150314070038286,37.17767784250013,37.17767784250013,37.17767784250013
147,6.331815130510043,14.571555882743052,36.75705773023602,36.75705773023602,36.75705773023602
148,5.75802730881902,13.840937958245902,36.53637469574163,36.53637469574163,36.53637469574163
149,6.827742467180442,14.149187311219439,37.17705677430759,37.17705677430759,37.17705677430759
150,7.256287016126439,13.919706557136013,37.821070175767666,37.821070175767666,37.821070175767666
151,7.164549949132274,13.48960177886784,36.43261715853409,36.43261715853409,36.43261715853409
152,6.564723081283822,13.350924838757361,36.688842425606595,36.688842425606595,36.688842425606595
153,7.016118906600479,14.082617508055412,36.85132574657233,36.85132574657233,36.85132574657233
154,7.500568045717521,13.073014203702112,36.56234025080131,36.56234025080131,36.56234025080131
155,6.528122361449348,13.386677388618647,36.247594602069796,36.247594602069796,36.247594602069796
156,7.348297423614696,14.777036731990115,37.26097549386218,37.26097549386218,37.26097549386218
157,6.64543967566651,14.43901835018896,36.28460904249165,36.28460904249165,36.28460904249165
158,6.351002009885814,15.152630387713286,37.044671735307126,37.044671735307126,37.044671735307126
159,7.535768760061801,15.388419621538597,37.20136792575396,37.20136792575396,37.20136792575396
160,7.3057593126664395,13.835119169585465,36.251037007776794,36.251037007776794,36.251037007776794
161,6.243839684203134,14.807875021091656,36.543008396929054,36.543008396929054,36.543008396929054
162,5.612515668817412,14.982399684836313,36.79865559212443,36.79865559212443,36.79865559212443
163,6.756956902315955,14.15304706324725,36.58478103300991,36.58478103300991,36.58478103300991
164,6.298728340064613,13.719372484893713,38.01496845289756,38.01496845289756,38.01496845289756
165,6.917197476785835,14.81301345193842,36.24835383399444,36.24835383399444,36.24835383399444
166,6.5130473545502205,13.638644346581378,37.51339937488575,37.51339937488575,37.51339937488575
167,6.841399083557373,15.225828441904296,37.40894564846604,37.40894564846604,37.40894564846604
168,6.522360823317848,12.781390215978675,37.889583256621975,37.889583256621975,37.889583256621975
169,7.129523877949373,14.049298952421196,36.20443442844058,36.20443442844058,36.20443442844058
